FECHA,AÑO,MES_NUM,MES_NOMBRE,TRIMESTRE,CUATRIMESTRE,NUMERO_SEMANA,DIA_NOMBRE,DIA_NUM_SEMANA,DIA_DEL_AÑO
1/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,1,miércoles,3,1
2/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,1,jueves,4,2
3/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,1,viernes,5,3
4/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,1,sábado,6,4
5/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,1,domingo,7,5
6/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,lunes,1,6
7/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,martes,2,7
8/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,miércoles,3,8
9/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,jueves,4,9
10/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,viernes,5,10
11/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,sábado,6,11
12/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,2,domingo,7,12
13/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,lunes,1,13
14/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,martes,2,14
15/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,miércoles,3,15
16/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,jueves,4,16
17/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,viernes,5,17
18/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,sábado,6,18
19/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,3,domingo,7,19
20/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,lunes,1,20
21/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,martes,2,21
22/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,miércoles,3,22
23/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,jueves,4,23
24/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,viernes,5,24
25/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,sábado,6,25
26/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,4,domingo,7,26
27/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,5,lunes,1,27
28/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,5,martes,2,28
29/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,5,miércoles,3,29
30/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,5,jueves,4,30
31/1/2003,2003,1,enero,Trimestre 1,Cuatrimestre 1,5,viernes,5,31
1/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,5,sábado,6,32
2/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,5,domingo,7,33
3/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,lunes,1,34
4/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,martes,2,35
5/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,miércoles,3,36
6/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,jueves,4,37
7/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,viernes,5,38
8/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,sábado,6,39
9/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,6,domingo,7,40
10/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,lunes,1,41
11/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,martes,2,42
12/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,miércoles,3,43
13/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,jueves,4,44
14/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,viernes,5,45
15/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,sábado,6,46
16/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,7,domingo,7,47
17/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,lunes,1,48
18/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,martes,2,49
19/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,miércoles,3,50
20/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,jueves,4,51
21/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,viernes,5,52
22/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,sábado,6,53
23/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,8,domingo,7,54
24/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,9,lunes,1,55
25/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,9,martes,2,56
26/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,9,miércoles,3,57
27/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,9,jueves,4,58
28/2/2003,2003,2,febrero,Trimestre 1,Cuatrimestre 1,9,viernes,5,59
1/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,9,sábado,6,60
2/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,9,domingo,7,61
3/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,lunes,1,62
4/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,martes,2,63
5/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,miércoles,3,64
6/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,jueves,4,65
7/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,viernes,5,66
8/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,sábado,6,67
9/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,10,domingo,7,68
10/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,lunes,1,69
11/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,martes,2,70
12/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,miércoles,3,71
13/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,jueves,4,72
14/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,viernes,5,73
15/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,sábado,6,74
16/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,11,domingo,7,75
17/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,lunes,1,76
18/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,martes,2,77
19/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,miércoles,3,78
20/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,jueves,4,79
21/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,viernes,5,80
22/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,sábado,6,81
23/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,12,domingo,7,82
24/3/2003,2003,3,marzo,Trimestre 1,Cuatrimestre 1,13,lunes,1,83
