DEPARTAMENTO,MUNICIPIO,PAÍS
AMAZONAS,LETICIA,COLOMBIA
ANTIOQUIA,ABEJORRAL,COLOMBIA
ANTIOQUIA,ABRIAQUI,COLOMBIA
ANTIOQUIA,ALEJANDRIA,COLOMBIA
ANTIOQUIA,AMAGA,COLOMBIA
ANTIOQUIA,AMALFI,COLOMBIA
ANTIOQUIA,ANDES,COLOMBIA
ANTIOQUIA,ANGELOPOLIS,COLOMBIA
ANTIOQUIA,ANGOSTURA,COLOMBIA
ANTIOQUIA,ANORI,COLOMBIA
ANTIOQUIA,ANZA,COLOMBIA
ANTIOQUIA,APARTADO,COLOMBIA
ANTIOQUIA,ARBOLETES,COLOMBIA
ANTIOQUIA,ARGELIA,COLOMBIA
ANTIOQUIA,ARMENIA,COLOMBIA
ANTIOQUIA,BARBOSA,COLOMBIA
ANTIOQUIA,BELLO,COLOMBIA
ANTIOQUIA,BELMIRA,COLOMBIA
ANTIOQUIA,BETANIA,COLOMBIA
ANTIOQUIA,BETULIA,COLOMBIA
ANTIOQUIA,BRICEÑO,COLOMBIA
ANTIOQUIA,BURITICA,COLOMBIA
ANTIOQUIA,CACERES,COLOMBIA
ANTIOQUIA,CAICEDO,COLOMBIA
ANTIOQUIA,CALDAS,COLOMBIA
ANTIOQUIA,CAMPAMENTO,COLOMBIA
ANTIOQUIA,CARACOLI,COLOMBIA
ANTIOQUIA,CARAMANTA,COLOMBIA
ANTIOQUIA,CAREPA,COLOMBIA
ANTIOQUIA,CAROLINA,COLOMBIA
ANTIOQUIA,CAUCASIA,COLOMBIA
ANTIOQUIA,CAÑASGORDAS,COLOMBIA
ANTIOQUIA,CHIGORODO,COLOMBIA
ANTIOQUIA,CISNEROS,COLOMBIA
ANTIOQUIA,CIUDAD BOLIVAR,COLOMBIA
ANTIOQUIA,COCORNA,COLOMBIA
ANTIOQUIA,CONCEPCION,COLOMBIA
ANTIOQUIA,CONCORDIA,COLOMBIA
ANTIOQUIA,COPACABANA,COLOMBIA
ANTIOQUIA,DABEIBA,COLOMBIA
ANTIOQUIA,DON MATIAS,COLOMBIA
ANTIOQUIA,EBEJICO,COLOMBIA
ANTIOQUIA,EL BAGRE,COLOMBIA
ANTIOQUIA,EL CARMEN DE VIBORAL,COLOMBIA
ANTIOQUIA,EL SANTUARIO,COLOMBIA
ANTIOQUIA,ENTRERRIOS,COLOMBIA
ANTIOQUIA,ENVIGADO,COLOMBIA
ANTIOQUIA,FREDONIA,COLOMBIA
ANTIOQUIA,FRONTINO,COLOMBIA
ANTIOQUIA,GIRALDO,COLOMBIA
ANTIOQUIA,GIRARDOTA,COLOMBIA
ANTIOQUIA,GOMEZ PLATA,COLOMBIA
ANTIOQUIA,GRANADA,COLOMBIA
ANTIOQUIA,GUADALUPE,COLOMBIA
ANTIOQUIA,GUARNE,COLOMBIA
ANTIOQUIA,GUATAPE,COLOMBIA
ANTIOQUIA,HELICONIA,COLOMBIA
ANTIOQUIA,HISPANIA,COLOMBIA
ANTIOQUIA,ITAGUI,COLOMBIA
ANTIOQUIA,ITUANGO,COLOMBIA
ANTIOQUIA,JARDIN,COLOMBIA
ANTIOQUIA,JERICO,COLOMBIA
ANTIOQUIA,LA CEJA,COLOMBIA
ANTIOQUIA,LA ESTRELLA,COLOMBIA
ANTIOQUIA,LA PINTADA,COLOMBIA
ANTIOQUIA,LA UNION,COLOMBIA
ANTIOQUIA,LIBORINA,COLOMBIA
ANTIOQUIA,MACEO,COLOMBIA
ANTIOQUIA,MARINILLA,COLOMBIA
ANTIOQUIA,MEDELLIN,COLOMBIA
ANTIOQUIA,MONTEBELLO,COLOMBIA
ANTIOQUIA,MUTATA,COLOMBIA
ANTIOQUIA,NARIÑO,COLOMBIA
ANTIOQUIA,NECHI,COLOMBIA
ANTIOQUIA,NECOCLI,COLOMBIA
ANTIOQUIA,OLAYA,COLOMBIA
ANTIOQUIA,PEÑOL,COLOMBIA
ANTIOQUIA,PUEBLORRICO,COLOMBIA
ANTIOQUIA,PUERTO BERRIO,COLOMBIA
ANTIOQUIA,PUERTO NARE,COLOMBIA
ANTIOQUIA,PUERTO TRIUNFO,COLOMBIA
ANTIOQUIA,REMEDIOS,COLOMBIA
ANTIOQUIA,RETIRO,COLOMBIA
ANTIOQUIA,RIONEGRO,COLOMBIA
ANTIOQUIA,SABANALARGA,COLOMBIA
ANTIOQUIA,SABANETA,COLOMBIA
ANTIOQUIA,SALGAR,COLOMBIA
ANTIOQUIA,SAN ANDRES DE CUERQUIA,COLOMBIA
ANTIOQUIA,SAN CARLOS,COLOMBIA
ANTIOQUIA,SAN FRANCISCO,COLOMBIA
ANTIOQUIA,SAN JERONIMO,COLOMBIA
ANTIOQUIA,SAN JOSE DE LA MONTAÑA,COLOMBIA
ANTIOQUIA,SAN JUAN DE URABA,COLOMBIA
ANTIOQUIA,SAN LUIS,COLOMBIA
ANTIOQUIA,SAN PEDRO,COLOMBIA
ANTIOQUIA,SAN PEDRO DE URABA,COLOMBIA
ANTIOQUIA,SAN RAFAEL,COLOMBIA
ANTIOQUIA,SAN ROQUE,COLOMBIA
ANTIOQUIA,SAN VICENTE,COLOMBIA
ANTIOQUIA,SANTA BARBARA,COLOMBIA
ANTIOQUIA,SANTA ROSA DE OSOS,COLOMBIA
ANTIOQUIA,SANTAFE DE ANTIOQUIA,COLOMBIA
ANTIOQUIA,SANTO DOMINGO,COLOMBIA
ANTIOQUIA,SEGOVIA,COLOMBIA
ANTIOQUIA,SONSON,COLOMBIA
ANTIOQUIA,SOPETRAN,COLOMBIA
ANTIOQUIA,TAMESIS,COLOMBIA
ANTIOQUIA,TARAZA,COLOMBIA
ANTIOQUIA,TARSO,COLOMBIA
ANTIOQUIA,TITIRIBI,COLOMBIA
ANTIOQUIA,TOLEDO,COLOMBIA
ANTIOQUIA,TURBO,COLOMBIA
ANTIOQUIA,URAMITA,COLOMBIA
ANTIOQUIA,URRAO,COLOMBIA
ANTIOQUIA,VALDIVIA,COLOMBIA
ANTIOQUIA,VALPARAISO,COLOMBIA
ANTIOQUIA,VEGACHI,COLOMBIA
ANTIOQUIA,VENECIA,COLOMBIA
